scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,-0.0070835918241592116,15.0,0.232421875,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.01660301809568106,3.0,0.0390625,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.0733261031826347,2.0,0.09375,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,-0.003914257044452531,8.0,0.3104944343172349,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,-0.014054145486628106,3.0,0.625,False
per_pair,V1-RSC,mi_sig,expert-naive,6,-0.0048048581709819104,10.0,1.0,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.02232892988179983,0.0,0.125,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.16090040035198364,0.0,0.125,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,-0.0011201347811147177,21.0,0.556640625,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,-0.0031849746042790367,17.0,0.9453125,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,-0.01893561538742295,10.0,1.0,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.0019503435271914153,16.0,0.84375,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.009530461427338661,0.0,0.125,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.0070762840637811865,5.0,0.3125,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.015054611206783926,0.0,0.125,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.05611384839826333,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,-0.005670235507400903,18.0,0.375,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.021173695310982846,1.0,0.015625,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.054023823625358285,4.0,0.21875,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,0.0017368889284944493,18.0,1.0,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,-0.0019622902834752973,3.0,0.625,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.006430923137787582,8.0,0.6875,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.01086083438863139,3.0,0.625,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.12564129264036583,2.0,0.375,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.05889343581260939,16.0,0.275390625,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,0.015445709012679353,12.0,0.4609375,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,0.04986018641292926,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,-0.0020670937092499616,14.0,0.640625,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.04022576884608275,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.0708588958200484,5.0,0.3125,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,-0.012560911185666657,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.10310935827628057,1.0,0.25,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,-0.024467354387734647,18.0,0.375,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,0.025549878565988202,13.0,0.546875,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,0.0012735540944035315,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,-0.049142208396448755,12.0,0.4609375,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.037448939973055095,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,-0.03880452059550337,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,-0.013356347986951077,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.01949291814200021,3.0,0.625,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.04459647800532416,14.0,0.193359375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,-0.00995479961440403,17.0,0.9453125,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,0.02956719309962204,8.0,0.6875,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,-0.024339807524734015,16.0,0.84375,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,0.04185941536817573,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,0.018546248030116137,10.0,1.0,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,0.0057608926019885424,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,-0.051468734233968465,2.0,0.375,False
